"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"1961","Slovenia","Deaths - total","14,013",""
"1961","Slovenia","Natural change of population","14,942",""
"1961","Slovenia","Net migration plus statistical adjustment","-4,489",""
"1961","Slovakia","Population on 1 January - total ","4,166,507",""
"1961","Slovakia","Live births - total","87,359",""
"1961","Slovakia","Deaths - total","31,403",""
"1961","Slovakia","Natural change of population","55,956",""
"1961","Slovakia","Net migration plus statistical adjustment","-5,636",""
"1961","Finland","Population on 1 January - total ","4,446,222",""
"1961","Finland","Live births - total","81,996",""
"1961","Finland","Deaths - total","40,616",""
"1961","Finland","Natural change of population","41,380",""
"1961","Finland","Net migration plus statistical adjustment","-11,815",""
"1961","Sweden","Population on 1 January - total ","7,497,967",""
"1961","Sweden","Live births - total","104,501",""
"1961","Sweden","Deaths - total","73,555",""
"1961","Sweden","Natural change of population","30,946",""
"1961","Sweden","Net migration plus statistical adjustment","13,115",""
"1961","United Kingdom","Population on 1 January - total ","52,600,000",""
"1961","United Kingdom","Live births - total","944,400",""
"1961","United Kingdom","Deaths - total","631,800",""
"1961","United Kingdom","Natural change of population","312,600",""
"1961","United Kingdom","Net migration plus statistical adjustment","87,400",""
"1961","European Economic Area (EU28 plus IS, LI, NO)","Population on 1 January - total ","413,793,902",""
"1961","European Economic Area (EU28 plus IS, LI, NO)","Live births - total","7,669,306",""
"1961","European Economic Area (EU28 plus IS, LI, NO)","Deaths - total","4,175,170",""
"1961","European Economic Area (EU28 plus IS, LI, NO)","Natural change of population","3,494,136",""
"1961","European Economic Area (EU28 plus IS, LI, NO)","Net migration plus statistical adjustment","-32,458",""
"1961","European Economic Area (EU27 plus IS, LI, NO)","Population on 1 January - total ","409,640,963",""
"1961","European Economic Area (EU27 plus IS, LI, NO)","Live births - total","7,595,116",""
"1961","European Economic Area (EU27 plus IS, LI, NO)","Deaths - total","4,137,374",""
"1961","European Economic Area (EU27 plus IS, LI, NO)","Natural change of population","3,457,742",""
"1961","European Economic Area (EU27 plus IS, LI, NO)","Net migration plus statistical adjustment","-24,770",""
"1961","European Free Trade Association","Population on 1 January - total ","9,148,844",""
"1961","European Free Trade Association","Live births - total","166,715",""
"1961","European Free Trade Association","Deaths - total","85,574",""
"1961","European Free Trade Association","Natural change of population","81,141",""
"1961","European Free Trade Association","Net migration plus statistical adjustment","101,169",""
"1961","Iceland","Population on 1 January - total ","177,292",""
"1961","Iceland","Live births - total","4,563",""
"1961","Iceland","Deaths - total","1,248",""
"1961","Iceland","Natural change of population","3,315",""
"1961","Iceland","Net migration plus statistical adjustment","158",""
"1961","Liechtenstein","Population on 1 January - total ","16,628",""
"1961","Liechtenstein","Live births - total","359",""
"1961","Liechtenstein","Deaths - total","131",""
"1961","Liechtenstein","Natural change of population","228",""
"1961","Liechtenstein","Net migration plus statistical adjustment","269",""
"1961","Norway","Population on 1 January - total ","3,594,771",""
"1961","Norway","Live births - total","62,555",""
"1961","Norway","Deaths - total","33,191",""
"1961","Norway","Natural change of population","29,364",""
"1961","Norway","Net migration plus statistical adjustment","694",""
"1961","Switzerland","Population on 1 January - total ","5,360,153",""
"1961","Switzerland","Live births - total","99,238",""
"1961","Switzerland","Deaths - total","51,004",""
"1961","Switzerland","Natural change of population","48,234",""
"1961","Switzerland","Net migration plus statistical adjustment","100,048",""
"1961","Montenegro","Population on 1 January - total ",":",""
"1961","Montenegro","Live births - total",":",""
"1961","Montenegro","Deaths - total",":",""
"1961","Montenegro","Natural change of population",":",""
"1961","Montenegro","Net migration plus statistical adjustment",":",""
"1961","North Macedonia","Population on 1 January - total ","1,399,403",""
"1961","North Macedonia","Live births - total","42,182",""
"1961","North Macedonia","Deaths - total","13,141",""
"1961","North Macedonia","Natural change of population","29,041",""
"1961","North Macedonia","Net migration plus statistical adjustment","-11,244",""
"1961","Albania","Population on 1 January - total ","1,633,800",""
"1961","Albania","Live births - total","68,452",""
"1961","Albania","Deaths - total","15,445",""
"1961","Albania","Natural change of population","53,007",""
"1961","Albania","Net migration plus statistical adjustment","-1,007",""
"1961","Serbia","Population on 1 January - total ",":",""
"1961","Serbia","Live births - total",":",""
"1961","Serbia","Deaths - total",":",""
"1961","Serbia","Natural change of population",":",""
